CapTime;Status;Free;Total
24/01/2022-22:54;Open;0268;0430;
24/01/2022-22:59;Open;0269;0430;
24/01/2022-23:04;Open;0269;0430;
24/01/2022-23:09;Open;0269;0430;
24/01/2022-23:14;Open;0274;0430;
24/01/2022-23:19;Open;0276;0430;
24/01/2022-23:24;Open;0276;0430;
24/01/2022-23:29;Open;0276;0430;
24/01/2022-23:34;Open;0276;0430;
24/01/2022-23:39;Open;0276;0430;
24/01/2022-23:44;Open;0276;0430;
24/01/2022-23:49;Open;0276;0430;
24/01/2022-23:54;Open;0276;0430;
24/01/2022-23:59;Open;0276;0430;
25/01/2022-00:04;Open;0276;0430;
25/01/2022-00:09;Open;0277;0430;
25/01/2022-00:14;Open;0278;0430;
25/01/2022-00:19;Open;0278;0430;
25/01/2022-00:24;Open;0278;0430;
25/01/2022-00:29;Open;0279;0430;
25/01/2022-00:34;Open;0279;0430;
25/01/2022-00:39;Open;0280;0430;
25/01/2022-00:44;Open;0280;0430;
25/01/2022-00:49;Open;0280;0430;
25/01/2022-00:54;Open;0281;0430;
25/01/2022-00:59;Open;0281;0430;
25/01/2022-01:04;Open;0282;0430;
25/01/2022-01:09;Open;0282;0430;
25/01/2022-01:14;Open;0282;0430;
25/01/2022-01:19;Open;0283;0430;
25/01/2022-01:24;Open;0283;0430;
25/01/2022-01:29;Open;0283;0430;
25/01/2022-01:34;Open;0283;0430;
25/01/2022-01:39;Open;0283;0430;
25/01/2022-01:44;Open;0283;0430;
25/01/2022-01:49;Open;0283;0430;
25/01/2022-01:54;Open;0283;0430;
25/01/2022-01:59;Open;0283;0430;
25/01/2022-02:04;Open;0283;0430;
25/01/2022-02:09;Open;0283;0430;
25/01/2022-02:14;Open;0283;0430;
25/01/2022-02:19;Open;0283;0430;
25/01/2022-02:24;Open;0283;0430;
25/01/2022-02:29;Open;0283;0430;
25/01/2022-02:34;Open;0283;0430;
25/01/2022-02:39;Open;0283;0430;
25/01/2022-02:44;Open;0282;0430;
25/01/2022-02:49;Open;0282;0430;
25/01/2022-02:54;Open;0282;0430;
25/01/2022-02:59;Open;0282;0430;
25/01/2022-03:04;Open;0282;0430;
25/01/2022-03:09;Open;0282;0430;
25/01/2022-03:14;Open;0282;0430;
25/01/2022-03:19;Open;0282;0430;
25/01/2022-03:24;Open;0282;0430;
25/01/2022-03:29;Open;0282;0430;
25/01/2022-03:34;Open;0282;0430;
25/01/2022-03:39;Open;0282;0430;
25/01/2022-03:44;Open;0282;0430;
25/01/2022-03:49;Open;0282;0430;
25/01/2022-03:54;Open;0282;0430;
25/01/2022-03:59;Open;0282;0430;
25/01/2022-04:04;Open;0282;0430;
25/01/2022-04:09;Open;0282;0430;
25/01/2022-04:14;Open;0282;0430;
25/01/2022-04:19;Open;0282;0430;
25/01/2022-04:24;Open;0287;0430;
25/01/2022-04:29;Open;0287;0430;
25/01/2022-04:34;Open;0271;0430;
25/01/2022-04:39;Open;0281;0430;
25/01/2022-04:44;Open;0281;0430;
25/01/2022-04:49;Open;0281;0430;
25/01/2022-04:54;Open;0281;0430;
25/01/2022-04:59;Open;0281;0430;
25/01/2022-05:04;Open;0281;0430;
25/01/2022-05:09;Open;0281;0430;
25/01/2022-05:14;Open;0281;0430;
25/01/2022-05:19;Open;0281;0430;
25/01/2022-05:24;Open;0276;0430;
25/01/2022-05:29;Open;0271;0430;
25/01/2022-05:34;Open;0279;0430;
25/01/2022-05:39;Open;0280;0430;
25/01/2022-05:44;Open;0287;0430;
25/01/2022-05:49;Open;0287;0430;
25/01/2022-05:54;Open;0287;0430;
25/01/2022-05:59;Open;0288;0430;
25/01/2022-06:04;Open;0288;0430;
25/01/2022-06:09;Open;0288;0430;
25/01/2022-06:14;Open;0288;0430;
25/01/2022-06:19;Open;0287;0430;
25/01/2022-06:24;Open;0287;0430;
25/01/2022-06:29;Open;0286;0430;
25/01/2022-06:34;Open;0287;0430;
25/01/2022-06:39;Open;0287;0430;
25/01/2022-06:44;Open;0286;0430;
25/01/2022-06:49;Open;0286;0430;
25/01/2022-06:54;Open;0286;0430;
25/01/2022-06:59;Open;0285;0430;
25/01/2022-07:04;Open;0285;0430;
25/01/2022-07:09;Open;0285;0430;
25/01/2022-07:14;Open;0285;0430;
25/01/2022-07:19;Open;0284;0430;
25/01/2022-07:24;Open;0284;0430;
25/01/2022-07:29;Open;0284;0430;
25/01/2022-07:34;Open;0283;0430;
25/01/2022-07:39;Open;0282;0430;
25/01/2022-07:44;Open;0278;0430;
25/01/2022-07:49;Open;0276;0430;
25/01/2022-07:54;Open;0276;0430;
25/01/2022-07:59;Open;0274;0430;
25/01/2022-08:04;Open;0271;0430;
25/01/2022-08:09;Open;0270;0430;
25/01/2022-08:14;Open;0266;0430;
25/01/2022-08:19;Open;0265;0430;
25/01/2022-08:24;Open;0264;0430;
25/01/2022-08:29;Open;0261;0430;
25/01/2022-08:34;Open;0258;0430;
25/01/2022-08:39;Open;0258;0430;
25/01/2022-08:44;Open;0254;0430;
25/01/2022-08:49;Open;0248;0430;
25/01/2022-08:54;Open;0248;0430;
25/01/2022-08:59;Open;0245;0430;
25/01/2022-09:04;Open;0244;0430;
25/01/2022-09:09;Open;0244;0430;
25/01/2022-09:14;Open;0241;0430;
25/01/2022-09:19;Open;0239;0430;
25/01/2022-09:24;Open;0239;0430;
25/01/2022-09:29;Open;0239;0430;
25/01/2022-09:34;Open;0236;0430;
25/01/2022-09:39;Open;0235;0430;
25/01/2022-09:44;Open;0232;0430;
25/01/2022-09:49;Open;0230;0430;
25/01/2022-09:54;Open;0228;0430;
